corpus;company
 Es una falta de respeto a los clientes que vamos al alto las condes cmr seguros y cmr a hacer consultas ya que no existen sillas donde esperar los tediosos 40 minutos que hemos tenido que esperar para ser atendidos y es mas tienen una sola persona atendiendo publico y o cierran de 15.00 a 16.00 hrs por colacion que me parece justo pero deben tener mas personal entonces. Cuando tienen que cobrar son muy agilesNo digan que es por covid ya que la oficina de al lado en cambios de mercaderias tienen al menos 15 asientos disponibles;Falabella
 El día 29 de Noviembre del año 2021 hice una devolución de tres productos que compre online en la tienda Falabella, es día 2 de Diciembre se me hizo el reembolso pero solo de dos de los productos, desde entonces que he estado llamando y poniendo reclamos, como no tuve respuesta fui a la tienda, me indicaron hablar con una jefa de departamento, la cual indico que esos problemas solo se solucionaban vía telefónica, volví a llamar, el día 4 de Enero me pidieron enviar escaneadas la notas de crédito y me dijeron que en 48 horas tendría respuesta, el día 10 de Enero como no tuve respuesta, volví a llamar y me volvieron a ingresar el requerimiento y supuestamente en 72 horas tendría solución, estamos a 14 de Enero y nada. Yo no se porque Falabella es la única tienda que cuando uno paga con debito que es lo mismo que efectivo, se toma 15 días para devolver, siempre es menos el tiempo, pero dan ese plazo como máximo, lo encuentro una soberana sinvergüenzura.;Falabella
 Hola, quiero dejar un reclamo, el dia 28 de octubre realicé una compra de un computador por internet y cancelé la compra el mismo dia en la tarde. Hasta la fecha no me han realizado la devolución del dinero a mi tarjeta de crédito, he llamado infinitas veces al call center para preguntar por esta devolución de dinero ya que en mi banco me dicen que no les ha llegado absolutamente nada. Todas las veces que he llamado al call center me han dicho que se realizó la devolución del dinero e incluso tengo la nota de crédito, un comprobante por correo de que esa devolución se hizo pero mentira, no han hecho mi devolución de dinero. Hoy 14 de enero llamé nuevamente al call center para pedir el comprobante de devolución de dinero a mi tarjeta de crédito y la chica que me atendió me dice que no me han hecho ningúna DEVOLUCIÓN, han pasado dos meses y medio y falabella no ha sido capaz de devolver el dinero a mi tarjeta de crédito. Los del call center tienen un nivel de inconpetencia supremo, no han sido capaces de darme una información real, con tal de darme la respuesta que quiero mienten y cortan el teléfono pero todo este tiempo me han dado información falsa hasta el día de hoy. Hoy nuevamente me realizaron un requerimiento por este tema. He puesto reclamos, tengo correos de respaldo, tengo números de solicitudes y hasta el dia de hoy dos meses y medio después no ha sido capaces de devolverme el dinero. necesito QUE ME DEVUELVAN EL DINERO A MI TARJETA DE CRÉDITO.;Falabella
" El 13-12-21 compré una lavadora y se suponía que llagaba al día siguiente según la información que entregaban en la página. El producto nunca llegó en la fecha indicada y más encima aparecía como ""entregado"". Después de varios llamados para saber el estado del despacho de mi compra hoy 13-01-22 (un mes después) me llega un correo diciendo que están trabajando en una solicitud de devolución del dinero, cosa que yo nunca pedí porque necesitaba la lavadora, por lo cual llamé a servicio al cliente y me indican que esta devolución del dinero se hace porque no tienen stock del producto. Entonces no entiendo cómo esta empresa internacional vende productos que no tienen, y más aún tuve que esperar un mes para que me dijeran eso, no tienen control de sus existencias en bodega, lo cual significa una pérdida de tiempo para uno como cliente y sin mencionar el tiempo que no pude contar con el producto, una verdadera decepción esta empresa, nunca más vuelvo a comprar y no le recomiendo a nadie comprar, aún cuando parezcan buenas las ofertas, pues no sabes cuándo te llegará lo que compraste, si es que te llega.";Falabella
 Se realizo una compre el 16 de noviembre 2021. Pasada las 24 hrs. No llego boleta alguna. Luego durante diciembre me contacte con call center, via WhatsApp e incluso fui a la tienda. Que segun se habia ingresado el reclamo y en 5 dias hábiles tendría respuesta para la devolución de 377.101. Hoy 13 de enero 2022, aun no hay devolución. he llamado en reiteradas ocasiones pero no hay ninguna solución... Ya no se con quien debo hablar para poder arreglar esto. Tengo el estado de cuenta, numeros de orden de los productos.. Etc.;Falabella
 el día 20 de dic.2020 fui notificado por cmr que se me había hecho un cobro de 229.990por haberme cambiado de compañía telefónica...al preguntar me entete que me faltaban 9 días para el termino del contrato de 18 meses...creo que fue un error de claro s.a. pues al hacer la portabilid le expliqué que revisaran bien pues yo no estaba seguro si estaba en el plazo o no, recibí el o.k. para el cambio diciendo que lo habían revisado y que podía..creo que es justo que deba pagar un porcentaje pequeño de los días que me faltaron de permanencia aunque no sea mi culpa...lo asumo pero no ese robo de pagar el total del contrato...eso sería arbitrario e injusto...ruego a ud me ayude porque.me siento pasado a llevar por este problema...ya que en las tiendas todos se hacen los desentendió.;Falabella
 Hice una compra el 3 diciembre y me la cancelaron por falta de stock, y aún no me devuelven el dinero;Falabella
" El día 5 de enero realicé un pedido de comida para perros en falabella.com con fecha de envío el día 10 de enero. Es decir, con cinco días de anticipación y una fecha ofrecida por ellos y pactada por ambas partes. La comida obviamente no llega el día 10 de enero así que el día 11 ingreso un reclamo al que simplemente responden con un correo genérico con una SOLICITUD de reclamo. Hoy realizo otra y lo mismo, llevo dos días extra esperando mi pedido, pidiéndoles explicaciones y respuestas a servicio al cliente y sólo me dan ""números de solicitudes"" con las que tendré que esperar quizás hasta cuándo. necesito soluciones. Se las pedí, pedí por la posibilidad de ir a buscar el pedido a algún lugar y también fue rechazada. Finalmente cancelé el pedido ya que Falabella no se ha hecho cargo del asunto.";Falabella
 El de Septiembre hice una compra vía internet de un Soundbar HW-T450 2.1ch por un valor total de $123.980 incluido despacho, el producto no fue enviado porque presentaba desperfecto al momento del despacho por lo que me dieron la opción de la devolución del dinero, tema que hasta el día de hoy no han respondido, solo me han ofrecido un vale vista por $26.990 a nombre de Raúl Obando bajo mi Rut me han hecho ir en mas de 4 ocasiones al Banco de chile asegurando que mi vale vista esta listo por los $123.980 y siempre esta el mismo vale vista antes señalado por menos cantidad y a nombre de otra persona, también me ofrecieron una Gift card por $20.000 por las molestias la que nunca fue habilitada y ojo que he seguido comprando en Falabella y ellos como si nada, espero tener una solución definitiva a mi reclamo.Luis Contreras;Falabella
" El día 23 de Diciembre de 2021 compré un colchón de 2 plazas con fecha de despacho para el día 7 de Enero de 2022. El colchón nunca llegó y me quedé con un catre de 2 plazas armado y sin tener donde dormir con mi novio que se encuentra actualmente postrado por fractura de pie. Sólo disponemos de una cama de 1 plaza para dormir. El catre se armó el mismo día de la supuesta entrega y, por tema de espacio, se tuvieron que llevar la otra cama de 1 plaza que teníamos y gracias a la que podíamos dormir separados siguiendo los requerimientos de un fracturado en recuperación. Confié en la fecha de entrega ya que falabella nunca había fallado. Lo terrible es que a la fecha no hay respuesta más que un reclamo abierto oficialmente en falabella, el que no ha sido revisado. La solución debe ser instantánea, ahora no sabemos cuánto tiempo tendremos que esperar para que ""quizás"" falabella agende nueva fecha de entrega. Por todos los canales de atención sólo responden que el reclamo está abierto cuando la solución (nueva fecha de entrega) debiese ser inmediata. Pedir un colchón en otra tienda implica al menos 2 a 3 semanas nuevamente de espera, lo que no nos podemos permitir debido a la situación en la que se encuentra mi novio.";Falabella
 Falabella una real *****a estamos a 11-01-22 y del 25-09-2021 que estoy esperando la devolución de un canje de puntos que hice cada vez que llamé nunca habian respuesta de ningun colaborador llame LINIO una empresa externa a ustedes que me dio el número para poder comunicarme con la central de devoluciones de puntos llega diciembre me comunico me dan el número del caso llamo casi todos los días todas las semanas me dicen que los puntos ya se cargaron otros me dicen que en 2 dias mas se veran reflejados, otros me dicen que en 5 días habiles ya estamos en el 2022 aun no se han hecho responsable he gastado dinero en miles de llamadas que les he hecho y aun me dicen que siga esperando que hay retrazo en las devoluciones osea cuantos meses mas debo esperarlos por mi número de orden ° 409549181meses esperando sin respuesta solo que siga esperando;Falabella
 la empresa no cumple con la entrega del producto previamente pagado, no realiza control de despacho ni contacto conmigo para mantenerme informado del envío.Pésimo servicio de la empresa, produce un muy mal rato, considerando que lo que se compró era un regalo de cumpleaños que no fue entregado producto de la nefasta atención post venta a este cliente.Exijo una compensación por el mal servicio y el daño moral y emocional causado por lo poco profesional y despreocupado de la atención brindada.Como guinda de la torta en la página de la empresa declaran descaradamente que los productos fueron entregados, decepcionante.Número de pedidos: 5954689097 y 5954689103;Falabella
" incumplimiento de entrega de Producto ""Muebles KIDS, cama 3 cajones rosado flor 15"", Pedido Nº5946059778, con fecha de entrega para el pasado sábado 8 de enero de 2022.no solo incumplen con la fecha del despacho, si no que además, no dan absolutamente ningún tipo solución ni menos fecha para la nueva entrega. Los canales de contacto son un asco, llamé a todos los teléfonos de contacto para saber sobre el estado del despacho y nunca contestaron, simplemente para problemas de logística no hay contacto directo con un ejecutivo. El seguimiento del despacho por la plataforma de Falabella.com es un chiste, te muestra información totalmente desfasada y no te da ninguna opción de contacto.La única opción de contacto es dejar un reclamo para que luego te llamen de regreso, a la fecha eso no sucede.Crean un Marketplace (Falabella.com) para hacer frente a Mercadolibre y así poder vender en un mismo portal todos los productos existentes sin tener que ir cambiando de tienda, ademas de vender productos de tiendas pequeñas (pymes, etc), la idea es muy buena pero el resultado es nefasto ya que no pueden cumplir con el compromiso de entrega en los tiempos acordados, simplemente la idea de poder despachar todo tipo de producto sin importar la transportadora, es imposible!, y agregar a esto que la logística es deficiente a paupérrima.En lo personal, nunca más compraré en Falabella a menos que esté en la tienda fisicamente. Espero que este reclamo le sirva a aquellas personas que están pensando en adquirir algún bien en Tottus, Sodimac, Falabbela retail, etc se lo piensen 2 veces, no les interesa en lo más mínimo sus clientes, experiencia de usuario fantástica para comprarles productos y adquirir tarjetas, prestamos, etc, pero la experiencia de cliente una vez que les compras es una de las peores y engañosas, el portal esta hecho, diseñado y concebido en base a un modelo de negocio que te da toda la facilidad del mundo a la hora de comprar, pagar a demás de que te habilitan todos los canales y medios de contacto posibles, pero, una vez que compras y no cumplen con el compromiso de venta o de despacho, ¿Donde esta esa facilidad de contacto?, ¿Por que para esos efectos te derivan al chatbot o asistente virtual con respuestas pre-definidas?, ¿Por que te tienes que auto gestionar tu problema?, ¿por que los teléfonos de seguimiento o de solución de algún tipo de problema nunca, pero nunca funcionan?. Simple, no les interesa en lo más mínimo sus clientes.";Falabella
 El 28 de diciembre compré un scooter por la app de Falabella.Al momento de pagar aparece un banner indicando la opción de compra en 12 cuotas sin intereses con tarjeta CMR, a la cual accedí. Al seleccionar esta opción se me indica que el total es de $303. 980 y cada cuota sería de $25. 332.Al revisar mi estado de cuenta, el valor total subió a $350. 460 quedando cada cuota en $29. 205, lo que es casi $50. 000 más de lo que tengo que pagar realmente.Presenté un reclamo por la página web de Falabella el 01 de enero.El 06 de enero recibo correo indicando que al comprar con CMR, el reclamo debo presentarlo a banco Falabella.El 07 de enero acudo a una sucursal de banco Falabella, en dónde se me indica que la promoción la ofrecía la tienda Falabella y no el banco, por lo que debo hacer el reclamo en la tienda.Presento un reclamo vía WhatsApp, dónde después de culparse del problema entre Falabella y Banco Falabella me asignan el caso N° 1-119018029054.Al consultar hoy, 10 de Enero por el estado de mi caso me indican que este fue mal ingresado y me dan el nuevo caso N° 1-11922449263.Presento reclamo en el sernac.;Falabella
 Compré 2 camas en Falabella, una me la vinieron a dejar en fecha NO acordada, la dejan el dia que ellos quieren, tampoco llaman para confirmar si uno esta en la casa, menos mal que estaba ese día para recibir. La segunda cama envian email que llegaria el 05/01/22 la vienieron a dejar el 30/12/21, claro el dia que ellos quieren, pero ese dia yo y mi familia no estabamos para recibir (fuera de Stgo ), he llamado varias veces a reclamos falabellla, pero solo dicen que estan gestionando el reclamo, yo lo único que quiero es que llegue urgente mi cama de una plaza y media, que es la que me falta.;Falabella
 En resumen, se trata de un caso donde la empresa envió un producto incompleto (cama sin un colchón) y después de 2 semanas de trámite me responden que no tienen stock y que una vez que retiren el producto incompleto me devolverán el dinero. No recibí lo que compré ni tengo el dinero para comprar una reposición.Cronología del caso:6 Dic 2021- Se hace en la App de Falabella.com la compra de 2 Camas de 1 Plaza (Pedido 5923535417). Despacho programado al 27 de Dic28 Dic 2021 - Llega el despacho pero INCOMPLETO (Falta un colchón)29 de Dic 2021 - se crea primera solicitud de reemplazo de producto incompleto via App y corroborado via telefónica. Al rato se recibe email confirmando retiro de producto incompleto para el 4 de Ene4 Ene 2022 - llega transportista pidiendo retiro de 2 camas completas!, me niego y se cancela la operación4 Ene 2022 - Creo una nueva solicitud de reemplazo de producto (1-118891780009) para reemplazo de 1 cama via App y corroborado via telefónica6 Ene 2022 - llamo para validar estado y me informan que la solicitud había sido cancelada! (anulada por que había una anterior) La agente telefónica crea una nueva solicitud 1-119013235038 7 Ene 2022 - Llamo para validar estado de la solicitud y la agente de servicio me responde que todavía no hay novedades. Me indica que se avisa a area encargada para comunicarse a la brevedad y dar resolución del caso.Posteriormente recibo un email donde se confirma retiro de producto (1 cama) para el 18 de Enero. No se indica en el email si habrá reposición en ese mismo despacho.,8 Ene 2022 - Llamo nuevamente para preguntar qué sucederá el 18 de Enero y me confirman que será un retiro del producto incompleto y que no habrá reposición pues no tienen stock. Me informan que la devolución del dinero se hará una vez que retiren el producto y lo reciban en sus bodegas.CONCLUSION: Después de 2 semanas de la fecha informada de entrega recién me avisan que no tienen stock y me dan una fecha en 2 semanas más para retirar producto incompleto y recién devolver dinero (que por supuesto cobran al instante de hacer la compra). ¡Me quedo sin producto y sin dinero! NOTA: cuento con los emails y boleta de compra pero no pude subirlos;Falabella
 Hoy iba a pagar mi cuenta mensual de dos servicios fijos que tengo con falabella Netflix y Spotifi, ya que no ocupa mas que eso mi cupo de compras es el mínimo de $45.000.- No lo he aumentado ya que no la ocupo.El problema es que hoy iba a pagar eso que no superan los $20.000 y resulta que me aparece a pagar un total de $344.000.- pesos.Aparece que el día 25 de diciembre 2021, hicieron una compara i internacional de 161.000 dos veces un total de 320.000.- No me llamaron ni enviaron nada para que yo autorizara la compra.No se como autorizaron la compra ya que yo tengo un cupo mucho mas inferior para hacer compras.El mecanismo de seguridad es vulnerable, yo no perdí mi tarjeta ni nada.Esto lo hare publico para que a nadie más le pase.No reconozco esta deuda, cerraré esta tarjeta y pelearé hasta el final por esta injusticia.Aunque ellos digan que se debe cambiar las claves, y cuidar todo. En este caso ellos no cumplieron con la seguridad mínima.;Falabella
 falabella tenia la promocion de acumular el doble de puntos al comprar en viajes falabella con cmr.hice una compra por la web de 500.000 mil pesos aprox.la compra acumulo un total de 1673 puntos y estaba compuesta por: -comision de viajes falabella que fue de $21.919 (73 puntos)-vuelo - compra en aerolinea $480.094 (1600 puntos) no se por qué me cargaron por separado estos montos, como si hubiesen sido compras distintas, y ahi esta la pilleria, porque yo compre directamente en viajes falabella por internet. dicho esto, me cargaron solo 73 puntos, que correspondia al doble de la comision de ellos. busqué informacion por las bases y no aparece nada en cuanto a que los puntos se cargan por comision. encuentro que es publicidad engañosa hacer este tipo de promociones, ya que utilice solo la tarjeta para acumular estos puntosuna *****a ;Falabella
 compre con tiempo hace dos semanas atrás una lavadora secadora y un comedor, verifique la fecha y coordine para estar en casa para recibirlo (pedí 2 días de permiso en mi trabajo), espere todo el día sin moverme de mi casa y las cosas no llegaron, jamás me contactaron para avisar o dar nueva fecha o unas disculpas, estoy en un dpto nuevo que me acabo de mudar sin lavadora donde lavar mi ropa ni comedor donde sentarme por le ineficiencia de los despachos de Falabella, ahora tengo para dos semanas mas que me despachen y si es que cumplen.;Falabella
 Hola buenas, compre un teléfono (Samsung A52s 5G) por Falabella Connect y saque el teléfono por un plan mandato con portabilidad (De WOM a ENTEL) y todo correcto pero cuando ya me tiene que llegar el correo de que puedo cambiar de chip, me rechazan la portabilidad, he conversado con la ejecutiva de Falabella Connect, con un jefe de Local del Falabella Portal La Dehesa, fui a una tienda de ENTEL y tampoco me supieron dar una solución, ya que no tengo la culpa de ese error y además me dicen que pueden cobrar el costo completo del aparato, siendo que yo solo tenia que pagar $40.000, espero alguna respuesta.;Falabella
 El día 21/12 hice una compra en falabella.comMe informaron via mail que el despacho estaba programado entre el 30/12/21 y el 2/01/22. Estamos a 6 de enero y aún no llega. He hecho reclamos todos los días, y no tengo solución. ni siquiera me dan la oporutnidad de retiro en tienda, ya que está en despacho. De hecho dicen que está en ruta...;Falabella
" Mi reclamo recae principalmente porque no dan una respuesta a mi problema. Compre una cama el 26 de noviembre y con fecha de entrega el 3 de enero. Se seleccionó un día en específico para estar esperando el producto. El día 27 de diciembre de la nada me llaman y me dicen ""somos de falabella estamos afuera de su casa"" situación que me sorprende, ya que, se seleccionó el día 3 de enero y porque ese día no me encontraba en mi hogar, les dije que la entrega era para el 3 de enero y me dijeron ok. Bueno el día 3 enero esperé todo el día y nunca llegó el producto. Al comunicarme con la empresa me dicen que la fecha de entrega se reprogramó para el 31 de enero. Si estoy pagando una fecha en específico porque no se respeta? Por qué aparecen otro día? Y la única solución que me han dado es que pida la devolución del dinero pero yo necesito la cama. Acá nadie responde por un error que ellos realizaron, no hay registros que se fue a dejar el producto fuera de la fecha indicada y tampoco hay registro que no fueron el 3 enero. ¿Donde queda mis derechos de cliente? Y donde queda el pago por un servicio porque tampoco el despacho el gratis.";Falabella
 Tengo una giftcard perdida y llamé a falabella y no me contestaron y hablé por whatsapp de la empresa sin responder en un lapsus de 30 min y al responder lo hacen de manera cortante sin ofrecer ayuda al cliente, ni alguna soluciónAl final les da lo mismo si el cliente puede canjear el dinero, total el ingreso para ellos ya fue hecho y con eso no les importa nada másPésimo servicio;Falabella
 Realicé una compra por falabella app en día 26/12/2021, y se generé dos ordenes de compra (no sé por qué) que son nº5944712897 y nº5944712903. Ambas están programando para entrega en día 29/12/2021. Pero ayer solo llegó una que es primer orden y menor monto. Tipo 20 horas de día ayer consulte a falabella por vía whatsapp, me contaba que productos están en la ruta de entrega y entregará ayer mismo. Hoy en 12 hora, realicé nuevamente la consulta a falabella, lo que se ha ingresado un reclamo y no sabe cuando se va a entregar. El día 03/01/2022 llamé a call center de falabella, consultando estatus de reclamos, y me dice el plazo de reclamo es 7 días corridos. Hoy 05/01/2022 recibí notificación de APP sorpresivamente, indicó que los productos fueron entregados pero hoy estoy en todo día en la cada no recibí nadie de falabella ni menos los productos. llemé nuevamente a call center y me dice que no se entrega ningún plazo para reclamo. Será muy extraño mañana justo cumple 7 días. La verdad estoy chato.... muy mal servicio todo..;Falabella
 Compre varios artículos el día 14 de diciembresupuestamente llegaban el día 29. Ya estamos a 5 de enero y nada ni una explicación.;Falabella
" El día 22 de agosto compré unas poleras y cardigan por la app de Falabella que debían llegar esa misma semana, en distintos días, la compra se dividió en tres pedidos. Pasadas varias semanas que no me llegaban dos de los productos que compré - pedido Nº5838878593 polera+cardigan, llamé al servicio al cliente donde ellos mismos me indicaron que hubo un problema con el despacho y que cancelaron mi pedido. Iniciaron proceso de devolución de dinero, bien, me llegó el reembolso y me olvidé del tema. Pasados varios meses, ya no recuerdo si fue en noviembre o diciembre, recibí una llamada del servicio al cliente preguntándome si me llegó el cardigan porque la empresa de transporte se acordó que parece que sí me lo entregaron. Les pregunté cómo es posible que éstos digan que me entregaron el cardigan sin la polera que venía en el mismo pedido en la misma caja!, les respondí que no me llegaron nunca estos productos y por eso les reclamé (recordándoles que, cuando les reclamé en septiembre, me dieron la razón y por algo me devolvieron el dinero). El muchacho de servicio al cliente me dijo que se van a contactar conmigo nuevamente. Han pasado varias semanas nuevamente, el 4 de enero me llegó un correo de parte de Falabella:""Hola Michaela Schauerova,Hemos intentado contactarnos contigo por teléfono debido a tu solicitud de devolución de dinero relacionada al pedido N°5838878593 por un problema en la entrega de los productos:Esprit Cardigan Casual.La compra fue dejada sin efecto y se inició el proceso de reembolso de dinero al mismo medio de pago utilizado.sin embargo, la empresa de transporte responsable de la entrega indicó que el producto fue entregado en XXXX, domicilio indicado en la compra.Debido a esta inconsistencia en la información, necesitamos que por favor nos confirmes si la compra fue o no recibida en tu domicilio en el siguiente formulario: ""sin embargo, pincho ese formulario y elijo la opción correspondiente, que no he recibido mi compra, y no se puede pinchar botón ""responder"", o sea si no les puedo ni responder qué quieren? Trato de contactarlos por botón WhatsApp a través de la app y de la página web y tampoco funciona este medio. Y ahora, si no les respondo qué pasará??solicito que se cierre el tema, la empresa de transporte no me presentó ninguna guía de despacho firmada por alguien del edifico y después de tantos meses difícil que se lo pueda objetar a los conserjes. En la semana cuándo debía recibir las compras preguntaba cada día en la conserjería de mi edificio si han llegado estos paquetes y ese puntual no llegó.";Falabella
 Tengo póliza full cobertura en seguros FalabellaMe correspondía por siniestro ocurrido en septiembre, con el auto ingresado a taller el 12 de diciembre, un auto de reemplazo.Lo solicité el 22 de diciembre.No hubo respuesta.Volví a solicitarlo el 3 de enero. Se me dijo que mi número de teléfono estaba incorrecto.La única opción que se me dió fue hacer la solicitud de nuevo y la respuesta estaría durante la mañana.No me contactaron.Llamé nuevamente hoy y se repitió lo mismo. Llené una nueva solicitud.Pedí un teléfono u otro medio para presentar unreclamo y se me dijo que Falabella no cuenta con esto , sra. Estefanía Gutiérrez.Qué se hace con una institución que se compromete y no cumple, no sé comunican y no permiten que uno lo haga ?Mi auto lo entregan probablemente el viernes y ellos lo saben.Quiero que me paguen la semana del auto arrendado porque yo he gastado en movilizarme.;Falabella
